idx,lesson,expression,explanation
205 , 031 , ~と，~                                     , [小句1(动词基本形／ない形)]と、小句2：“一……就……” 1) 表示恒常性状态、真理、反复状态、习惯； 2) 表示由于某种行为而发现了新的情况。 “～と”的后面不会出现表示意志，希望，命令，请求等表达方式。
206 , 027 , ~と会います                                , [名]と会います “～に”：表示单向性的行为对象 “～と”：表示双向性的行为对象
207 , 029 , ~という~                                   , [名1]＋という＋[名2]：表示称谓，“叫做……”
208 , 030 , ~と思います                                , [动(意志形)]＋と思います 用法：将自己要做某事的意志告诉听话人。1) 是表示个人意志的表达方式，通常只能用于第一人称。 2) 问句可用于第二人称，用于直接询问对方的意志。
209 , 030 , ~と思っています                            , [动(意志形)]+ と思っています 用法：表示某种意志持续了一段时间。可用于第三人称。
210 , 037 , ~とか~とか                                 , [名1]とか[名2]とか　[小句1]とか[小句2]とか 用于列举同样性质的几个例子。“～とか～”只用于口语
211 , 027 , ~時，~                                     , 小句(简)+時：“……的时候，……” 接续：1.名+の+時 2.形1(简)+時 3.形2(词干)+な+時 4.动(简)+時 a.～する（基本形）＋時、…：表示后项动作实现时，前项动作未完成 b.～した（た形）＋時、…：表示后项动作实现时，前项动作已完成
212 , 040 , ~ところです                                ,
213 , 029 , ~な [禁止]                                 , [动(基本形)]+な：禁止 放在句尾　用于禁止听话人做某事 其语气的强硬程度与动词命令形相当，较粗鲁。
214 , 029 , ~ないと/~ないといけません                  , ないと：“~ないといけません／～ないといけない”的省略形式
215 , 027 , ~ながら                                    , 动＋ながら 接续：连用形＋“ながら”。 意义：一边…一边… 后面的动作是主要动作，前面的动作是次要动作。
216 , 029 , ~なければ/~なければなりません              , なければ：“～なければなりません／～なければならない”的省略形式
217 , 029 , ~なさい                                    , 动词ます形去“ます”＋“なさい” 多用于长辈对晚辈、老师对学生、上司对下属下命令；语气比命令型客气。 
218 , 037 , ~なら，~                                   , [小句1(简体形)]なら、[小句2] \n根据对方的言谈或现场情况，陈述自己的意见或想法，以及向对方提出请求或忠告 \n接续：简体形式＋なら; 形2／名词：去掉简体形式中的だ＋なら
219 , 036 , ~に [用途] [基准]                          , [名]に 1) 表示用途时，前面是具体说明用途的名词，后面多是“使う”等动词； \n2) 表示基准时，前面的名词是基准，后面一般是表示评价的形容词。
220 , 032 , ~によると                                  , 表示消息来源时用“～によると”, 与“～そうです”表传闻合用
221 , 041 , ~によって                                  ,
222 , 026 , ~のが~です                                 , 当谓语是表示感情或擅长不擅长的形容词（好きです、嫌いです、苦手です、上手です、下手です）时，主语要用助词“が”来表示。
223 , 036 , ~のが見えます/~のが聞こえます              , [小句(简体形)]+の+が＋見えます／聞こえます 小句：形2词干＋な＋の; 形1+の; 形2+な＋の
224 , 034 , ~のために，~ [目的]                        , [名]＋の＋ために、[小句] 表示目的，前后两个小句的主语相同。
225 , 039 , ~のために，~ [原因、理由]                  ,
226 , 030 , ~ので，~                                   , [小句1]+ので+[小句2] 用于客观叙述某事的原因、理由。接续：简体／敬体+ので，前接简体较多；动词／形1简体＋ので；名词／形2简体（だ→な）＋ので；
227 , 043 , ~のではないでしょうか [婉转陈述意见的表达] ,
228 , 027 , ~の時，~                                   , 名词＋の＋時
229 , 036 , ~のに [用途] [基准]                        , [动(基本形)]＋の＋に \n1) 表示用途时，前面是具体说明用途的名词，后面多是“使う”等动词； \n2) 表示基准时，前面的名词是基准，后面一般是表示评价的形容词。
230 , 042 , ~のに，~                                   ,
231 , 026 , ~のは~です                                 , 小句（动词简体形）＋の＋は[形]です。动词小句加形式名词“の”使之名词化，表示“做某动作”之意。 以上名词化形式作主语，而谓语是表示性质、状态的形1、形2时，主语用“は”表示。
232 , 042 , ~のまま，~                                 ,
233 , 044 , ~のようです [推測]                         ,
234 , 046 , ~のような味/においがします                 ,
235 , 026 , ~のを~                                     , 小句（动词简体形）＋の＋を[动]。 这种名词化形式做宾语时，“の”和“こと”可以互换。 表达信息内容时，用“こと”；表示某动作时，用“の”。
236 , 037 , ~ば，~                                     , [小句1]ば、[小句2]：表示小句1是小句2的必要条件。\n原则上句尾不能使用表示意志、希望、命令、请求的表达方式。不过，如果小句1的谓语为状态性谓语或者前后两个小句的主语不同时，则不受此限制。
237 , 029 , ~は~という~です                            , [名1]は[名/小句]+という +[名2]です。用于对名词1下定义或做解释。[小句]可以是命令形、简体形、简体形+な等形式。「という」后面的[名2]多为“意味（意思）”，也可是其它名词
238 , 041 , ~は~に~られます                            ,
239 , 043 , ~は~に~を~させます                         ,
240 , 041 , ~は~に~を~られます                         ,
241 , 028 , ~は~に~をくれます                          , AはBに～をくれます。“A给B~”（B是“我”或“我方人员”） 物/所有权“由外向内”移动  别人给说话人(一方)的人某物
242 , 045 , ~ば~ほど                                   ,
243 , 041 , ~が/は~られます                            ,
244 , 043 , ~は~を~させます                            ,
245 , 036 , ~ばかり~                                   , [名]＋ばかり＋[动]：表示所列举的事物全部相同；“光、净、只……”
246 , 036 , ~ばかりいます                              , [动(て形)]＋ばかり＋いる：表示总是发生同样的事情或总是进行同样的动作“老是，总是，光……，净……”[反复]
247 , 040 , ~始めます/~出します                        ,
248 , 042 , ~はずがありません                          ,
249 , 042 , ~はずです                                  ,
250 , 046 , ~までに                                    ,
251 , 042 , ~まま，~                                   ,
252 , 044 , ~みたいです [推测]                         ,
253 , 046 , ~みたいです [比喻]                         ,
254 , 039 , ~も [超出预想]                             ,
255 , 043 , ~やすいです/~にくいです                    ,
256 , 044 , ~ようです [推测]                           ,
257 , 046 , ~ようです [比喻]                           ,
258 , 038 , ~ように，~                                 , [小句(基本形／ない形)]ように、[小句]　[目的] 表示“为了使前项状态成立，而有意识地做后项事情”。 一般前接非意志性动词，或意志性动词的可能形式
259 , 038 , ~ようにします                              , [小句(基本形／ない形)]ようにします：表示“努力做到……”。一般前接意志性动词 \n[小句(基本形／ない形)]ようにしています：表示平时留心保持某习惯。
260 , 038 , ~ようになります                            , [小句(基本形／ない形)]ようになります：表示变化。 表示能力、状况、习惯等变成某种状态。 一般前接非意志性动词，或意志性动词的可能形式
