kana,kanji,pos,desc,word,lesson,idx
かっぱつ                                            , 活発                                         , 形容动词 , 活泼，活跃                                 , !活発(かっぱつ)                                                       , 162 , 1
がいこうてき                                        , 外向的                                       , 形容动词 , 外向                                       , !外向的(がいこうてき)                                                 , 162 , 1
へいきん                                            , 平均                                         , 名词     , 平均                                       , !平均(へいきん)                                                       , 162 , 1
じゅみょう                                          , 寿命                                         , 名词     , 寿命                                       , !寿命(じゅみょう)                                                     , 162 , 1
じゅうびょうにん                                    , 重病人                                       , 名词     , 重症患者，重病患者，重病号                 , !重病人(じゅうびょうにん)                                             , 162 , 1
いどうする                                          , 移動                                         , 动3      , 移动                                       , !移動(いどうする)                                                     , 162 , 1
おさない                                            , 幼い                                         , 形容词   , 幼小，年幼；幼稚                           , !幼(おさな)い                                                       , 162 , 1
しんゆう                                            , 親友                                         , 名词     , 好朋友，好友，密友，至交                   , !親友(しんゆう)                                                       , 162 , 1
わがしゃ                                            , 我が社                                       , 名词     , 我公司，本公司                             , !我が社(わがしゃ)                                                     , 162 , 1
やくいん                                            , 役員                                         , 名词     , 干部；干事；董事                           , !役員(やくいん)                                                       , 162 , 1
しつ                                                , 質                                           , 名词     , 质量；质，本质                             , !質(しつ)                                                             , 162 , 1
ちょうじかん                                        , 長時間                                       , 名词     , 长时间                                     , !長時間(ちょうじかん)                                                 , 162 , 1
ねんしゅう                                          , 年収                                         , 名词     , 年收入，年薪                               , !年収(ねんしゅう)                                                     , 162 , 1
インド                                              ,                                              , 专有词   , 印度                                       , インド                                                                , 162 , 1
げんじつ                                            , 現実                                         , 名词     , 现实                                       , !現実(げんじつ)                                                       , 162 , 1
らくご                                              , 落語                                         , 名词     , 单口相声                                   , !落語(らくご)                                                         , 162 , 1
ジャーナリスト                                      ,                                              , 名词     , 记者；编辑；通讯员                         , ジャーナリスト                                                        , 162 , 1
せんきょ                                            , 選挙                                         , 名词     , 选举                                       , !選挙(せんきょ)                                                       , 162 , 1
あおもりけん                                        , 青森県                                       , 专有词   , 青森县                                     , !青森県(あおもりけん)                                                 , 162 , 1
とくさん                                            , 特産                                         , 名词     , 特产                                       , !特産(とくさん)                                                       , 162 , 1
ぜんたい                                            , 全体                                         , 名词     , 全体，全部                                 , !全体(ぜんたい)                                                       , 162 , 1
せいとう                                            , 政党                                         , 名词     , 政党                                       , !政党(せいとう)                                                       , 162 , 1
しじする                                            , 支持                                         , 动3      , 支持                                       , !支持(しじする)                                                       , 162 , 1
たすう                                              , 多数                                         , 名词     , 多数                                       , !多数(たすう)                                                         , 162 , 1
はんすう                                            , 半数                                         , 名词     , 半数，一半                                 , !半数(はんすう)                                                       , 162 , 1
～ひん                                              , ～品                                         ,          , ～品，～产品，～商品                       , !～品(～ひん)                                                         , 162 , 1
せいか                                              , 成果                                         , 名词     , 成果，成就                                 , !成果(せいか)                                                         , 171 , 1
いじょう                                            , 以上                                         , 名词     , 以上，超出                                 , !以上(いじょう)                                                       , 171 , 1
いちれい                                            , 一例                                         , 名词     , 一个例子                                   , !一例(いちれい)                                                       , 171 , 1
おせじ                                              , お世辞                                       , 名词     , 恭维话，奉承话                             , お!世辞(せじ)                                                       , 171 , 1
