kana,kanji,pos,desc,word,lesson,idx
しゅうかい                                          , 集会                                         , 名词     , 集会                                       , !集会(しゅうかい)                                                     , 92  , 1
おえる                                              , 終える                                       , 动2      , 做完，完成，结束                           , !終(お)える                                                       , 92  , 1
へいかいする                                        , 閉会                                         , 动3      , 闭会，散会；闭幕                           , !閉会(へいかいする)                                                   , 92  , 1
ゆうびん                                            , 郵便                                         , 名词     , 邮政，邮件                                 , !郵便(ゆうびん)                                                       , 92  , 1
とっきゅうでんしゃ                                  , 特急電車                                     , 名词     , 特快列车                                   , !特急電車(とっきゅうでんしゃ)                                         , 92  , 1
かなざわ                                            , 金沢                                         , 专有词   , 金泽                                       , !金沢(かなざわ)                                                       , 92  , 1
ゆうじん                                            , 友人                                         , 名词     , 朋友，友人                                 , !友人(ゆうじん)                                                       , 92  , 1
きいろい                                            , 黄色い                                       , 形容词   , 黄色                                       , !黄色(きいろ)い                                                     , 92  , 1
おくりもの                                          , 贈り物品                                     , 名词     , 礼物，礼品                                 , !贈り物品(おくりもの)                                                 , 92  , 1
そのうち                                            ,                                              , 副词     , 不久，过几天                               , そのうち                                                              , 92  , 1
かみぶくろ                                          , 紙袋                                         , 名词     , 纸袋，纸质口袋                             , !紙袋(かみぶくろ)                                                     , 92  , 1
うわぎ                                              , 上着                                         , 名词     , 上衣                                       , !上着(うわぎ)                                                         , 92  , 1
ねいろ                                              , 音色                                         , 名词     , 音色                                       , !音色(ねいろ)                                                         , 92  , 1
サラダ                                              ,                                              , 名词     , 色拉，凉拌菜                               , サラダ                                                                , 92  , 1
めだつ                                              , 目立つ                                       , 动1      , 显眼，显著，引人注目                       , !目立(めだ)つ                                                       , 92  , 1
スケジュール                                        ,                                              , 名词     , 日程，日程表                               , スケジュール                                                          , 101 , 1
ハード                                              ,                                              , 形容动词 , (日程）紧张，紧密；困难；硬，坚固          , ハード                                                                , 101 , 1
とんでもない                                        ,                                              , 形容词   , 没有的事儿，哪里的话                       , とんでもない                                                          , 101 , 1
ファッション                                        ,                                              , 名词     , 时装，时尚，流行                           , ファッション                                                          , 101 , 1
かんこうち                                          , 観光地                                       , 名词     , 观光胜地，旅游胜地                         , !観光地(かんこうち)                                                   , 101 , 1
ありまおんせん                                      , 有馬温泉                                     , 专有词   , 有马温泉                                   , !有馬温泉(ありまおんせん)                                             , 101 , 1
のんびり                                            ,                                              , 副词     , 放松，轻松；悠闲自在，悠然自得             , のんびり                                                              , 101 , 1
おかみ                                              , 女将                                         , 名词     , 老板娘，女主人，女掌柜                     , !女将(おかみ)                                                         , 101 , 1
おせわになります                                    , お世話になります                             , 惯用语   , 承蒙关照                                   , お!世話(せわ)になります                                   , 101 , 1
とんでもありません                                  ,                                              , 惯用语   , 没有的事儿，哪儿的话                       , とんでもありません                                                    , 101 , 1
かんしんがある                                      , 関心がある                                   , 惯用语   , 感兴趣                                     , !関心(かんしん)がある                                           , 101 , 1
～めいさま                                          , ～名様                                       ,          , ～位，～名                                 , !～名様(～めいさま)                                                   , 101 , 1
～しょく                                            , ～食                                         ,          , ～餐                                       , !～食(～しょく)                                                       , 101 , 1
～つき                                              , ～付き                                       ,          , ～带～，付送～                             , !～付(～つ)き                                                       , 101 , 1
まんしつ                                            , 満室                                         , 名词     , 房间已满，无空房间，满员                   , !満室(まんしつ)                                                       , 101 , 1
あんせい                                            , 安静                                         , 形容动词 , 静养，安静                                 , !安静(あんせい)                                                       , 101 , 1
エプロン                                            ,                                              , 名词     , 围裙                                       , エプロン                                                              , 101 , 1
せいそうする                                        , 清掃                                         , 动3      , 清扫，扫除                                 , !清掃(せいそうする)                                                   , 101 , 1
くむ                                                , 組む                                         , 动1      , 计划，安排，编制，编排                     , !組(く)む                                                           , 101 , 1
たまたま                                            ,                                              , 副词     , 偶然，碰巧                                 , たまたま                                                              , 101 , 1
いちど                                              , 一度                                         , 副词     , 一次，一遍，一度                           , !一度(いちど)                                                         , 101 , 1
らいしゃする                                        , 来社                                         , 动3      , 来（我）公司                               , !来社(らいしゃする)                                                   , 101 , 1
きょうりょくする                                    , 協力                                         , 动3      , 合作，协作，配合                           , !協力(きょうりょくする)                                               , 101 , 1
つぼ                                                ,                                              , 名词     , つぼ[名]瓶，坛，罐，缸                     , つぼ                                                                  , 101 , 1
しちゃくする                                        , 試着                                         , 动3      , 试穿                                       , !試着(しちゃくする)                                                   , 101 , 1
お／ご～もうしあげる                                , お／ご~申し上げる                            ,          , 恭～，敬～（自谦）                         , お!／ご~申し上(／ご～もうしあ)げる                              , 101 , 1
さっぽろ                                            , 札幌                                         , 专有词   , 札幌                                       , !札幌(さっぽろ)                                                       , 101 , 1
かたみち                                            , 片道                                         , 名词     , 单程                                       , !片道(かたみち)                                                       , 101 , 1
ひかり                                              , 光                                           , 名词     , 光，光亮，光线                             , !光(ひかり)                                                           , 101 , 1
あいずする                                          , 合図                                         , 动3      , 发信号，递暗号                             , !合図(あいずする)                                                     , 101 , 1
さんすう                                            , 算数                                         , 名词     , 算数                                       , !算数(さんすう)                                                       , 101 , 1
とく                                                , 解く                                         , 动1      , 解，解答，解明                             , !解(と)く                                                           , 101 , 1
ひょうじ                                            , 表示                                         , 名词     , 表示，指示；表明                           , !表示(ひょうじ)                                                       , 101 , 1
ローマじ                                            , ～字                                         , 名词     , 罗马字                                     , !～字(ローマじ)                                                       , 101 , 1
まんぞく                                            , 満足                                         , 名词     , 满足，满意                                 , !満足(まんぞく)                                                       , 101 , 1
たいこく                                            , 大国                                         , 名词     , 大国，强国                                 , !大国(たいこく)                                                       , 102 , 1
ぜんこく                                            , 全国                                         , 名词     , 全国                                       , !全国(ぜんこく)                                                       , 102 , 1
おんせんち                                          , 温泉地                                       , 名词     , 温泉胜地                                   , !温泉地(おんせんち)                                                   , 102 , 1
のべ                                                , 延べ                                         , 名词     , 总计，共计                                 , !延(の)べ                                                           , 102 , 1
ちちゅう                                            , 地中                                         , 名词     , 地下，地里                                 , !地中(ちちゅう)                                                       , 102 , 1
わきでる                                            , 湧き出る                                     , 动2      , 喷涌，喷出，涌出                           , !湧き出(わきで)る                                                   , 102 , 1
きてい                                              , 規定                                         , 名词     , 特定，规定                                 , !規定(きてい)                                                         , 102 , 1
ふくむ                                              , 含む                                         , 动1      , 包含，含有                                 , !含(ふく)む                                                         , 102 , 1
とうめい                                            , 透明                                         , 形容动词 , 透明                                       , !透明(とうめい)                                                       , 102 , 1
にごる                                              , 濁る                                         , 动1      , 混浊，污浊                                 , !濁(にご)る                                                         , 102 , 1
しんけいつう                                        , 神経痛                                       , 名词     , 神经痛                                     , !神経痛(しんけいつう)                                                 , 102 , 1
ひふびょう                                          , 皮膚病                                       , 名词     , 皮肤病                                     , !皮膚病(ひふびょう)                                                   , 102 , 1
こうけつあつ                                        , 高血圧                                       , 名词     , 高血压                                     , !高血圧(こうけつあつ)                                                 , 102 , 1
ちりょう                                            , 治療                                         , 名词     , 治疗                                       , !治療(ちりょう)                                                       , 102 , 1
かえる                                              , 変える                                       , 动2      , 换，改变                                   , !変(か)える                                                       , 102 , 1
ろてんぶろ                                          , 露天風呂                                     , 名词     , 露天温泉，露天浴池                         , !露天風呂(ろてんぶろ)                                                 , 102 , 1
たっぷり                                            ,                                              , 形容动词 , 满……，充分，足够                           , たっぷり                                                              , 102 , 1
つかる                                              ,                                              , 动1      , 浸泡，泡澡                                 , つかる                                                                , 102 , 1
リラックスする                                      ,                                              , 动3      , 放松，松弛；轻松                           , リラックスする                                                        , 102 , 1
しゅくはくする                                      , 宿泊                                         , 动3      , 住宿，投宿                                 , !宿泊(しゅくはくする)                                                 , 102 , 1
にゅうよくしせつ                                    , 入浴施設                                     , 名词     , 洗浴设施                                   , !入浴施設(にゅうよくしせつ)                                           , 102 , 1
ひがえり                                            , 日帰り                                       , 名词     , 当天往返                                   , !日帰(ひがえ)り                                                     , 102 , 1
にゅうよく                                          , 入浴                                         , 名词     , 洗浴，入浴                                 , !入浴(にゅうよく)                                                     , 102 , 1
しせつ                                              , 施設                                         , 名词     , 设施，设备                                 , !施設(しせつ)                                                         , 102 , 1
せんとう                                            , 銭湯                                         , 名词     , 公共澡堂，洗浴中心                         , !銭湯(せんとう)                                                       , 102 , 1
ころ                                                ,                                              , 名词     , 时候，时期                                 , ころ                                                                  , 102 , 1
スーパーせんとう                                    , ～銭湯                                       , 名词     , 超级洗浴中心                               , !～銭湯(スーパーせんとう)                                             , 102 , 1
マッサージ                                          ,                                              , 名词     , 按摩                                       , マッサージ                                                            , 102 , 1
エステ                                              ,                                              , 名词     , 美容，全身美容                             , エステ                                                                , 102 , 1
たのしむ                                            , 楽しむ                                       , 动1      , 享受，欣赏                                 , !楽(たの)しむ                                                     , 102 , 1
ちょっとした                                        ,                                              , 形容动词 , 一点点，有点，稍微                         , ちょっとした                                                          , 102 , 1
いやし                                              ,                                              , 名词     , 安慰，享受；医治，治疗                     , いやし                                                                , 102 , 1
～せんまん                                          , ～千万                                       ,          , ～千万                                     , !～千万(～せんまん)                                                   , 102 , 1
ていりゅうじょ                                      , 停留所                                       , 名词     , 公交车站，车站，公共汽车站                 , !停留所(ていりゅうじょ)                                               , 102 , 1
ぴったり                                            ,                                              , 副词     , 正合适，恰好                               , ぴったり                                                              , 102 , 1
つるつる                                            ,                                              , 副词     , 溜滑，滑溜，光滑                           , つるつる                                                              , 102 , 1
じっけん                                            , 実験                                         , 名词     , 试验，实验                                 , !実験(じっけん)                                                       , 102 , 1
こうずい                                            , 洪水                                         , 名词     , 洪水                                       , !洪水(こうずい)                                                       , 102 , 1
ながす                                              , 流す                                         , 动1      , 冲走，冲刷                                 , !流(なが)す                                                         , 102 , 1
ステーキ                                            ,                                              , 名词     , 牛排                                       , ステーキ                                                              , 102 , 1
おかず                                              ,                                              , 名词     , 菜，菜肴                                   , おかず                                                                , 102 , 1
まったく                                            , 全く                                         , 副词     , 完全，全然                                 , !全(まった)く                                                       , 102 , 1
はんい                                              , 範囲                                         , 名词     , 范围                                       , !範囲(はんい)                                                         , 102 , 1
しょくざい                                          , 食材                                         , 名词     , 食品原材料                                 , !食材(しょくざい)                                                     , 102 , 1
まつたけ                                            , 松茸                                         , 名词     , 松蘑，松茸                                 , !松茸(まつたけ)                                                       , 102 , 1
げんいん                                            , 原因                                         , 名词     , 原因                                       , !原因(げんいん)                                                       , 102 , 1
いやす                                              ,                                              , 动1      , 医治，治疗                                 , いやす                                                                , 102 , 1
かおり                                              , 香り                                         , 名词     , 香味，芳香                                 , !香(かお)り                                                         , 102 , 1
～じょ                                              , ～所                                         ,          , ～所，～站                                 , !～所(～じょ)                                                         , 102 , 1
～ねんせい                                          , ～年制                                       ,          , ～年制                                     , !～年制(～ねんせい)                                                   , 102 , 1
ビタミン                                            ,                                              , 名词     , 维生素，维他命                             , ビタミン                                                              , 102 , 1
よぼうする                                          , 予防                                         , 动3      , 预防                                       , !予防(よぼうする)                                                     , 102 , 1
たてなおす                                          , 立て直す                                     , 动1      , 重整，重建                                 , !立て直(たてなお)す                                                 , 102 , 1
いじする                                            , 維持                                         , 动3      , 维持，保持                                 , !維持(いじする)                                                       , 102 , 1
たいじゅう                                          , 体重                                         , 名词     , 体重                                       , !体重(たいじゅう)                                                     , 102 , 1
ファイル                                            ,                                              , 名词     , 文件，档案，卷宗                           , ファイル                                                              , 102 , 1
ひづけ                                              , 日付                                         , 名词     , 日期，年月日                               , !日付(ひづけ)                                                         , 102 , 1
はだ                                                , 肌                                           , 名词     , 肌肤                                       , !肌(はだ)                                                             , 102 , 1
ちく                                                , 地区                                         , 名词     , 地区                                       , !地区(ちく)                                                           , 102 , 1
そうとう                                            , 相当                                         , 副词     , 相当，很，颇                               , !相当(そうとう)                                                       , 102 , 1
しゃない                                            , 社内                                         , 名词     , 公司内                                     , !社内(しゃない)                                                       , 102 , 1
てんさい                                            , 天才                                         , 名词     , 天才                                       , !天才(てんさい)                                                       , 102 , 1
～し                                                , ～氏                                         ,          , ～先生，～女士，～夫人                     , !～氏(～し)                                                           , 102 , 1
いっしん                                            , 一心                                         , 专有词   , 一心                                       , !一心(いっしん)                                                       , 111 , 1
しんさく                                            , 新作                                         , 名词     , 新作品，新创作                             , !新作(しんさく)                                                       , 111 , 1
こうかいする                                        , 公開                                         , 动3      , 公映，公开，开映；开放                     , !公開(こうかいする)                                                   , 111 , 1
こうぎょう                                          , 興行                                         , 名词     , 票房，公演，演出，上映                     , !興行(こうぎょう)                                                     , 111 , 1
トップ                                              ,                                              , 名词     , 第一位，首位，第一名                       , トップ                                                                , 111 , 1
みこみ                                              , 見込み                                       , 名词     , 预料，估计；可能性                         , !見込(みこ)み                                                       , 111 , 1
しゅえんする                                        , 主演                                         , 动3      , 主演                                       , !主演(しゅえんする)                                                   , 111 , 1
アクション                                          ,                                              , 名词     , 动作片，武打剧；动作                       , アクション                                                            , 111 , 1
ひょうかする                                        , 評価                                         , 动3      , 评价                                       , !評価(ひょうかする)                                                   , 111 , 1
たかまる                                            , 高まる                                       , 动1      , 高涨，提高                                 , !高(たか)まる                                                     , 111 , 1
そうすると                                          ,                                              , 接续词   , 这么说来，这么说                           , そうすると                                                            , 111 , 1
わけ                                                ,                                              , 名词     , 缘故，理由，原因                           , わけ                                                                  , 111 , 1
くべつする                                          , 区別                                         , 动3      , 区分，区别                                 , !区別(くべつする)                                                     , 111 , 1
うけいれる                                          , 受け入れる                                   , 动2      , 接受，采纳                                 , !受け入(うけい)れる                                               , 111 , 1
かれら                                              , 彼ら                                         , 代词     , 他们                                       , !彼(かれ)ら                                                         , 111 , 1
つかむ                                              ,                                              , 名词     , 抓住，掌握住                               , つかむ                                                                , 111 , 1
くちコミ                                            , 口～                                         , 名词     , 口碑，口头互传，口头推荐                   , !口～(くちコミ)                                                       , 111 , 1
えいぞう                                            , 映像                                         , 名词     , 电影，影像                                 , !映像(えいぞう)                                                       , 111 , 1
ていきょうする                                      , 提供                                         , 动3      , 提供                                       , !提供(ていきょうする)                                                 , 111 , 1
きがする                                            , 気がする                                     , 名词     , 感觉，觉得，好像                           , !気(き)がする                                                   , 111 , 1
～ら                                                ,                                              ,          , ～们，～等                                 , ～ら                                                                  , 111 , 1
どう～                                              , 同～                                         ,          , 同～，相同～                               , !同～(どう～)                                                         , 111 , 1
しんじつ                                            , 真実                                         , 名词     , 真的，真话；真实，事实                     , !真実(しんじつ)                                                       , 111 , 1
ほうしん                                            , 方針                                         , 名词     , 方针，方向                                 , !方針(ほうしん)                                                       , 111 , 1
ていねん                                            , 定年                                         , 名词     , 退休，退休年龄                             , !定年(ていねん)                                                       , 111 , 1
ジーディーピー                                      , GDP                                          , 名词     , GDP，国内生产总值                          , !GDP(ジーディーピー)                                                  , 111 , 1
ぬく                                                , 抜く                                         , 动1      , 超过，超出                                 , !抜(ぬ)く                                                           , 111 , 1
さっと                                              ,                                              , 副词     , 很快，一下子；忽然，骤然                   , さっと                                                                , 111 , 1
ヒットする                                          ,                                              , 动3      , 非常畅销，大受欢迎                         , ヒットする                                                            , 111 , 1
たんす                                              ,                                              , 名词     , 衣橱，衣柜                                 , たんす                                                                , 111 , 1
たかめる                                            , 高める                                       , 动2      , 提高，抬高                                 , !高(たか)める                                                     , 111 , 1
ひろまる                                            , 広まる                                       , 动1      , 扩大；传播，遍及                           , !広(ひろ)まる                                                     , 111 , 1
ひろめる                                            , 広める                                       , 动2      , 推广；扩大                                 , !広(ひろ)める                                                     , 111 , 1
つよまる                                            , 強まる                                       , 动1      , 强烈起来，强硬起来                         , !強(つよ)まる                                                     , 111 , 1
つよめる                                            , 強める                                       , 动2      , 加强，增强                                 , !強(つよ)める                                                     , 111 , 1
よわまる                                            , 弱まる                                       , 动1      , 变弱，衰弱                                 , !弱(よわ)まる                                                     , 111 , 1
よわめる                                            , 弱める                                       , 动2      , 弱化，减弱                                 , !弱(よわ)める                                                     , 111 , 1
ふかまる                                            , 深まる                                       , 动1      , 加深，变深                                 , !深(ふか)まる                                                     , 111 , 1
せつやく                                            , 節約                                         , 名词     , 节约                                       , !節約(せつやく)                                                       , 111 , 1
キリストきょう                                      , ～教                                         , 名词     , 基督教                                     , !～教(キリストきょう)                                                 , 111 , 1
せんきょうし                                        , 宣教師                                       , 名词     , 传教士                                     , !宣教師(せんきょうし)                                                 , 111 , 1
うすめる                                            , 薄める                                       , 动2      , 冲淡；稀释；淡化                           , !薄(うす)める                                                     , 111 , 1
ルール                                              ,                                              , 名词     , 规则，章程                                 , ルール                                                                , 111 , 1
かわだ                                              , 川田                                         , 专有词   , 川田                                       , !川田(かわだ)                                                         , 111 , 1
せん                                                , 線                                           , 名词     , 线                                         , !線(せん)                                                             , 111 , 1
た／たんぼ                                          , 田／田んぼ                                   , 名词     , 田地；稻田，水田                           , !田／田(た／た)んぼ                                               , 111 , 1
とおす                                              ,                                              , 动1      , 通过；穿过，穿通                           , とおす                                                                , 111 , 1
マスコミ                                            ,                                              , 名词     , 宣传媒介                                   , マスコミ                                                              , 111 , 1
～きょう                                            , ～教                                         ,          , ～教                                       , !～教(～きょう)                                                       , 111 , 1
ていかする                                          , 低下                                         , 动3      , 下降，降低                                 , !低下(ていかする)                                                     , 111 , 1
いずれ                                              ,                                              , 副词     , 早晚，反正                                 , いずれ                                                                , 111 , 1
じょうい                                            , 上位                                         , 名词     , 前列，排前面；上位，上座                   , !上位(じょうい)                                                       , 111 , 1
ゆだん                                              , 油断                                         , 名词     , 疏忽，麻痹                                 , !油断(ゆだん)                                                         , 111 , 1
かんこくドラマ                                      , 韓国～                                       , 名词     , 韩国电视剧                                 , !韓国～(かんこくドラマ)                                               , 111 , 1
けしょうひん                                        , 化粧品                                       , 名词     , 化妆品                                     , !化粧品(けしょうひん)                                                 , 111 , 1
チェス                                              ,                                              , 名词     , 国际象棋                                   , チェス                                                                , 111 , 1
しょうぎ                                            , 将棋                                         , 名词     , 日本象棋                                   , !将棋(しょうぎ)                                                       , 111 , 1
ご                                                  , 碁                                           , 名词     , 围棋                                       , !碁(ご)                                                               , 111 , 1
はいく                                              , 俳句                                         , 名词     , 俳句，俳诗                                 , !俳句(はいく)                                                         , 111 , 1
うりきれる                                          , 売り切れる                                   , 动2      , 卖完，售罄                                 , !売り切(うりき)れる                                               , 111 , 1
たいしょくする                                      , 退職                                         , 动3      , 辞职                                       , !退職(たいしょくする)                                                 , 111 , 1
かようきょく                                        , 歌謡曲                                       , 名词     , 流行歌曲                                   , !歌謡曲(かようきょく)                                                 , 111 , 1
こうりゅう                                          , 交流                                         , 名词     , 交流                                       , !交流(こうりゅう)                                                     , 111 , 1
